sequence,work_package_id,requirement_id,title,classification,priority,complexity,gate,depends_on,primary_operation_ids,contributing_operation_ids,semantic_event_types,producer_event_types,gate_required_test_ids,deferred_test_ids,e2e_ids,slice_count,maximum_slice_points,status
50,WP-DEMO-ALERT-003,DEMO-ALERT-003,Resolver alerta por atualização,DEMO-MUST,P0,L,G4_TIME_COMMUNICATION,WP-DEMO-ALERT-001; WP-DEMO-EVT-002,,,AlertResolved,AlertResolved; CompletionForecastUpdated,TST-DATA-ALERT-002; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-017,,E2E-DEMO-000; E2E-DEMO-001,4,3,BLOCKED_BY_PREVIOUS_GATE
51,WP-DEMO-EXT-002,DEMO-EXT-002,Consultar contexto mínimo do fornecedor,DEMO-MUST,P0,L,G5_EXTERNAL,WP-DEMO-EXT-001; WP-DEMO-IAM-003,createExternalSession; getExternalContext,,,,TST-API-CREATE-EXTERNAL-SESSION-001; TST-API-GET-EXTERNAL-CONTEXT-001; TST-API-POLICY-001; TST-API-POLICY-008; TST-API-POLICY-010; TST-AUTH-EXT-003; TST-AUTH-EXT-004; TST-AUTH-EXT-011; TST-AUTH-EXT-012; TST-AUTH-EXT-013; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-004,,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
52,WP-DEMO-STOP-008,DEMO-STOP-008,Liberar veículo,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-STOP-007,releaseVehicle,,VehicleReleased,VehicleReleased,TST-API-RELEASE-VEHICLE-001; TST-DATA-STOP-004; TST-SM-CROSS-008,TST-API-POLICY-001; TST-DATA-STOP-002; TST-DATA-STOP-005; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,5,3,BLOCKED_BY_PREVIOUS_GATE
53,WP-DEMO-CASE-003,DEMO-CASE-003,Aguardar fornecedor,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-CASE-001; WP-DEMO-STOP-006; WP-DEMO-TASK-004,waitCaseForSupplier,,CaseWaitingForSupplier,CaseWaitingForSupplier,TST-API-WAIT-CASE-FOR-SUPPLIER-001; TST-DATA-CASE-001; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-004,TST-API-POLICY-001; TST-SM-CASE-003,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
54,WP-DEMO-TASK-005,DEMO-TASK-005,Retomar tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-EVT-002; WP-DEMO-TASK-004,,,TaskResumedAfterSupplierUpdate,TaskResumedAfterSupplierUpdate,TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-SM-TASK-005,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
55,WP-DEMO-EXT-004,DEMO-EXT-004,Emitir acesso de condutor,DEMO-MUST,P0,M,G5_EXTERNAL,WP-DEMO-AUDIT-001; WP-DEMO-EVT-001; WP-DEMO-EXT-001; WP-DEMO-IAM-003; WP-DEMO-STOP-008,issueDriverAccess,,,ExternalAccessTokenIssued,TST-API-ISSUE-DRIVER-ACCESS-001; TST-API-POLICY-010; TST-AUTH-EXT-001; TST-AUTH-EXT-002; TST-AUTH-EXT-009; TST-AUTH-EXT-012; TST-DATA-EXT-001; TST-DATA-EXT-002,,E2E-DEMO-000; E2E-DEMO-005,4,3,BLOCKED_BY_PREVIOUS_GATE
56,WP-DEMO-CASE-004,DEMO-CASE-004,Retomar após atualização,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-CASE-003; WP-DEMO-EVT-002,,,CaseResumedAfterSupplierUpdate,CaseResumedAfterSupplierUpdate,TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-004,TST-SM-CASE-003,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
57,WP-DEMO-EXT-005,DEMO-EXT-005,Consultar contexto mínimo do condutor,DEMO-MUST,P0,M,G5_EXTERNAL,WP-DEMO-EXT-004,,createExternalSession; getExternalContext,,,TST-API-CREATE-EXTERNAL-SESSION-001; TST-API-GET-EXTERNAL-CONTEXT-001; TST-API-POLICY-001; TST-API-POLICY-008; TST-API-POLICY-010; TST-AUTH-EXT-003; TST-AUTH-EXT-004; TST-AUTH-EXT-006; TST-AUTH-EXT-008; TST-AUTH-EXT-011; TST-AUTH-EXT-012; TST-AUTH-EXT-014; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-004; TST-SM-CROSS-015,,E2E-DEMO-000; E2E-DEMO-005,3,2,BLOCKED_BY_PREVIOUS_GATE
58,WP-DEMO-EXT-003,DEMO-EXT-003,Atualizar previsão pelo fornecedor,DEMO-MUST,P0,XL,G5_EXTERNAL,WP-DEMO-ALERT-003; WP-DEMO-CASE-004; WP-DEMO-EXT-002; WP-DEMO-STOP-006; WP-DEMO-TASK-005,updateForecastExternal,,CompletionForecastUpdated,CompletionForecastUpdated,TST-API-POLICY-001; TST-API-POLICY-010; TST-API-UPDATE-FORECAST-EXTERNAL-001; TST-AUTH-EXT-005; TST-AUTH-EXT-007; TST-AUTH-EXT-008; TST-AUTH-EXT-010; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-003; TST-DATA-EXT-005; TST-DATA-FORECAST-001; TST-SM-CROSS-011; TST-SM-CROSS-014; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,,E2E-DEMO-000; E2E-DEMO-001,5,3,BLOCKED_BY_PREVIOUS_GATE
59,WP-DEMO-STOP-009,DEMO-STOP-009,Confirmar retirada pelo condutor,DEMO-MUST,P0,M,G5_EXTERNAL,WP-DEMO-AUDIT-001; WP-DEMO-EVT-002; WP-DEMO-EXT-005; WP-DEMO-STOP-008,confirmDepartureExternal,,DepartureConfirmed,DepartureConfirmed; ExternalAccessTokenRevoked,TST-API-CONFIRM-DEPARTURE-EXTERNAL-001; TST-API-POLICY-001; TST-API-POLICY-010; TST-AUTH-EXT-006; TST-AUTH-EXT-007; TST-AUTH-EXT-010; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-003; TST-DATA-EXT-005; TST-DATA-STOP-002; TST-DATA-STOP-003; TST-DATA-STOP-005; TST-DATA-STOP-007; TST-SM-CROSS-004; TST-SM-CROSS-007; TST-SM-CROSS-009; TST-SM-CROSS-015; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,,E2E-DEMO-000; E2E-DEMO-005,5,3,BLOCKED_BY_PREVIOUS_GATE
