requirement_id,title,classification,work_package_id,gate,actors,ui_ids,commands,operation_ids,operation_sets,permissions_or_capabilities,tables,events,event_sets,test_ids,e2e_ids,status
DEMO-COM-002,Sugerir vínculo,DEMO-MUST,WP-DEMO-COM-002,G4_TIME_COMMUNICATION,SYSTEM,UI-DEMO-COMMUNICATION,SuggestConversationCaseLink,,,internal system policy,conversation; conversation_case_link,ConversationCaseLinkSuggested,,TST-AUTH-ADAPTER-001,E2E-DEMO-003,COMPLETE_V2.1.3
DEMO-COM-003,Confirmar vínculo,DEMO-MUST,WP-DEMO-COM-003,G4_TIME_COMMUNICATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-COMMUNICATION,ConfirmConversationCaseLink,confirmConversationCaseLink,,communication.link_case,conversation; conversation_case_link,CommunicationLinked,,TST-API-CONFIRM-CONVERSATION-CASE-LINK-001; TST-API-POLICY-001,E2E-DEMO-003,COMPLETE_V2.1.3
DEMO-COM-004,Registrar ligação,DEMO-MUST,WP-DEMO-COM-004,G4_TIME_COMMUNICATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-PHONE-CALL; UI-DEMO-COMMUNICATION,RecordPhoneCall,recordPhoneCall,,communication.record_phone_call,phone_call,PhoneCallRecorded,,TST-API-POLICY-001; TST-API-RECORD-PHONE-CALL-001; TST-DATA-EVT-006,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-STOP-007,Concluir serviço,DEMO-MUST,WP-DEMO-STOP-007,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,CompleteService,completeService,,stop.complete_service,vehicle_stop; stop_state_history,ServiceCompleted,,TST-API-COMPLETE-SERVICE-001; TST-API-POLICY-001; TST-DATA-STOP-002; TST-DATA-STOP-003; TST-DATA-STOP-004; TST-SM-CROSS-007; TST-SM-CROSS-008; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-STOP-008,Liberar veículo,DEMO-MUST,WP-DEMO-STOP-008,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,ReleaseVehicle,releaseVehicle,,stop.release_vehicle,vehicle_stop; stop_state_history,VehicleReleased,,TST-API-POLICY-001; TST-API-RELEASE-VEHICLE-001; TST-DATA-STOP-002; TST-DATA-STOP-004; TST-DATA-STOP-005; TST-SM-CROSS-008; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-EXT-004,Emitir acesso de condutor,DEMO-MUST,WP-DEMO-EXT-004,G5_EXTERNAL,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,IssueDriverAccess,issueDriverAccess,,external_access.issue_driver,external_action_token; external_action_capability,ExternalAccessTokenIssued,,TST-API-ISSUE-DRIVER-ACCESS-001; TST-API-POLICY-010; TST-AUTH-EXT-001; TST-AUTH-EXT-002; TST-AUTH-EXT-009; TST-AUTH-EXT-012; TST-DATA-EXT-001; TST-DATA-EXT-002,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-EXT-005,Consultar contexto mínimo do condutor,DEMO-MUST,WP-DEMO-EXT-005,G5_EXTERNAL,EXTERNAL_DRIVER,UI-DEMO-DRIVER,,createExternalSession; getExternalContext,,VIEW_DRIVER_CONTEXT,external_session; external_action_token; external_action_capability,,,TST-API-CREATE-EXTERNAL-SESSION-001; TST-API-GET-EXTERNAL-CONTEXT-001; TST-API-POLICY-001; TST-API-POLICY-008; TST-API-POLICY-010; TST-AUTH-EXT-003; TST-AUTH-EXT-004; TST-AUTH-EXT-006; TST-AUTH-EXT-008; TST-AUTH-EXT-011; TST-AUTH-EXT-012; TST-AUTH-EXT-014; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-004; TST-SM-CROSS-015,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-STOP-009,Confirmar retirada pelo condutor,DEMO-MUST,WP-DEMO-STOP-009,G5_EXTERNAL,EXTERNAL_DRIVER; SYSTEM,UI-DEMO-DRIVER,ConfirmDeparture,confirmDepartureExternal,,CONFIRM_DEPARTURE,departure_confirmation; vehicle_stop; external_token_usage,DepartureConfirmed; ExternalAccessTokenRevoked,,TST-API-CONFIRM-DEPARTURE-EXTERNAL-001; TST-API-POLICY-001; TST-API-POLICY-010; TST-AUTH-EXT-006; TST-AUTH-EXT-007; TST-AUTH-EXT-010; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-003; TST-DATA-EXT-005; TST-DATA-STOP-002; TST-DATA-STOP-003; TST-DATA-STOP-005; TST-DATA-STOP-007; TST-SM-CROSS-004; TST-SM-CROSS-007; TST-SM-CROSS-009; TST-SM-CROSS-015; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-STOP-010,Fechar parada,DEMO-MUST,WP-DEMO-STOP-010,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,CloseVehicleStop,closeVehicleStop,,stop.close,vehicle_stop; stop_state_history; security_audit_record,VehicleStopClosed; ExternalAccessTokenRevoked,,TST-API-CLOSE-VEHICLE-STOP-001; TST-API-POLICY-001; TST-DATA-STOP-002; TST-DATA-STOP-006; TST-SM-CROSS-001; TST-SM-CROSS-004; TST-SM-CROSS-005; TST-SM-CROSS-006; TST-SM-CROSS-017; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,COMPLETE_V2.1.3
DEMO-EVT-001,Persistência transacional,TECHNICAL-SUPPORT,WP-DEMO-EVT-001,G2_DOMAIN,SYSTEM,,,,SET-API-DOMAIN-EVENT-MUTATIONS,outbox.publish,domain_event; integration_outbox; idempotency_record; case_state_history; task_state_history; stop_state_history; alert_state_history,,SET-EVT-ALL-V2,TST-API-POLICY-003; TST-API-POLICY-004; TST-API-POLICY-005; TST-API-POLICY-006; TST-AUTH-EXT-010; TST-AUTH-EXT-011; TST-DATA-EVT-001; TST-DATA-EVT-002; TST-DATA-EVT-003; TST-DATA-EVT-005; TST-DATA-EVT-006; TST-DATA-EXT-005; TST-EVT-CONTRACT-001; TST-EVT-CONTRACT-002; TST-EVT-CONTRACT-003; TST-EVT-CONTRACT-004; TST-EVT-CONTRACT-005; TST-EVT-CONTRACT-006; TST-EVT-CONTRACT-007; TST-EVT-CONTRACT-010; TST-EVT-CONTRACT-012; TST-SM-CROSS-018,,COMPLETE_V2.1.3
DEMO-EVT-002,Consumo idempotente,TECHNICAL-SUPPORT,WP-DEMO-EVT-002,G2_DOMAIN,SYSTEM_WORKER,,,,,project.timeline; project.case_view; project.stop_view; project.search; project.metrics; outbox.publish,consumer_receipt; integration_outbox; background_job; dead_letter_message; demo_generation; demo_runtime_control; worker_lease,,SET-EVT-ALL-V2,TST-DATA-ALERT-003; TST-DATA-DLQ-001; TST-DATA-EVT-004; TST-DATA-INBOX-001; TST-DATA-RESET-004; TST-EVT-CONTRACT-008; TST-EVT-CONTRACT-009; TST-EVT-CONTRACT-011,,COMPLETE_V2.1.3
DEMO-TIMELINE-001,Timeline de caso e parada,DEMO-MUST,WP-DEMO-TIMELINE-001,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER; SYSTEM_WORKER,UI-DEMO-TIMELINE,,getCaseTimeline; getStopTimeline,,timeline.read; project.timeline,timeline_entry,,SET-EVT-TIMELINE-V2,TST-API-GET-CASE-TIMELINE-001; TST-API-GET-STOP-TIMELINE-001,E2E-DEMO-000; E2E-DEMO-002; E2E-DEMO-003,COMPLETE_V2.1.3
DEMO-TIMELINE-002,Preservar correções,TECHNICAL-SUPPORT,WP-DEMO-TIMELINE-002,G3_PROJECTIONS,DEMO_SUPERVISOR; SYSTEM_WORKER,UI-DEMO-TIMELINE,CorrectArrival,correctArrival,,stop.correct_arrival; project.timeline,arrival_report; arrival_confirmation; timeline_entry,ArrivalReported; ArrivalConfirmed; ArrivalCorrected,,TST-API-CORRECT-ARRIVAL-001; TST-API-POLICY-001; TST-DATA-ARRIVAL-001; TST-EVT-CONTRACT-009; TST-SM-ARRIVAL-005; TST-SM-CROSS-012,E2E-DEMO-002,COMPLETE_V2.1.3
DEMO-AUDIT-001,Auditoria mínima,TECHNICAL-SUPPORT,WP-DEMO-AUDIT-001,G1_FOUNDATION,SYSTEM,,,,SET-API-SENSITIVE-AUDITED,automatic security audit policy,security_audit_record,,,TST-AUDIT-001; TST-AUDIT-002; TST-AUDIT-003; TST-AUTH-EXT-002; TST-DATA-RESET-003,,COMPLETE_V2.1.3
